final ID;Store;description;price;size;sex;img_url;shop_sales;number_in_stock
1,10253E+14;ARMEDANGELS;"Linda rot S"";""Top aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in S. Fair produziert in PortugalTop aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in S. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";34,9;S;Female;https://www.armedangels.de/media/catalog/product/1/0/10253234_43010253234-430.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-top-solid-linda-10253234-430.html417=3361?redirection=no;
1,10253E+14;ARMEDANGELS;"Linda rot M"";""Top aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in M. Fair produziert in PortugalTop aus Bio-Baumwolle mit Fit für Frauen aus 100% Baumwolle (bio) in M. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";34,9;M;Female;https://www.armedangels.de/media/catalog/product/1/0/10253234_43010253234-430.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-top-solid-linda-10253234-430.html417=3362?redirection=no;
1,3E+14;ARMEDANGELS;"James Crooked Lines grau M"";""T-Shirt aus Bio-Baumwolle mit Regular fit Fit für Herren aus 100% Baumwolle (bio) in M. Fair produziert in PortugalT-Shirt aus Bio-Baumwolle mit Regular fit Fit für Herren aus 100% Baumwolle (bio) in M. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";29,9;M;Male;https://www.armedangels.de/media/catalog/product/3/0/30000073_13930000073-139.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/maennerbekleidung-shirts-t-shirt-print-james-crooked-lines-30000073-139.html407=2934?redirection=no;
1,10253E+14;ARMEDANGELS;"Lin blau S"";""Bandeau Top aus Bio-Baumwoll Mix mit Fit für Frauen aus 96% Baumwolle (bio)Bandeau Top aus Bio-Baumwoll Mix mit Fit für Frauen aus 96% Baumwolle (bio)4% Elasthan in S. Fair produziert in Portugal aus nachhaltigen Materialien und GOTS zertifiziert.""";14,9;S;Female;https://www.armedangels.de/media/catalog/product/1/0/10253492_53010253492-530.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-bustier-solid-lin-10253492-530.html417=3361?redirection=no;
1,10253E+14;ARMEDANGELS;"Lin blau M"";""Bandeau Top aus Bio-Baumwoll Mix mit Fit für Frauen aus 96% Baumwolle (bio)Bandeau Top aus Bio-Baumwoll Mix mit Fit für Frauen aus 96% Baumwolle (bio)4% Elasthan in M. Fair produziert in Portugal aus nachhaltigen Materialien und GOTS zertifiziert.""";14,9;M;Female;https://www.armedangels.de/media/catalog/product/1/0/10253492_53010253492-530.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-shirts-bustier-solid-lin-10253492-530.html417=3362?redirection=no;
1,10253E+14;ARMEDANGELS;"Hila Color Splash blau L"";""Tencel® Kleid mit gerader Schnitt Fit für aus 100% Lyocell (Tencel®) in L. Fair produziert in TürkeiTencel® Kleid mit gerader Schnitt Fit für aus 100% Lyocell (Tencel®) in L. Fair produziert in Türkeiaus nachhaltigen Materialien und GOTS zertifiziert.""";79,9;L;;https://www.armedangels.de/media/catalog/product/1/0/10253411_53010253411-530.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/kleider-web-allover-hila-color-splash-10253411-530.html417=3363?redirection=no;
1,10253E+14;ARMEDANGELS;"Nela Love & Stripes Black weiss XS"";""T-Shirt aus Bio-Baumwolle mit Regular fit Fit für aus 100% Baumwolle (bio) in XS. Fair produziert in PortugalT-Shirt aus Bio-Baumwolle mit Regular fit Fit für aus 100% Baumwolle (bio) in XS. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";29,9;XS;;https://www.armedangels.de/media/catalog/product/1/0/10253346_18810253346-188.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/shirts-t-shirt-print-nela-love-stripes-black-10253346-188.html417=3360?redirection=no;
1,10253E+14;ARMEDANGELS;"Emily grau 98/104"";""T-Shirt aus Bio-Baumwolle mit Regular fit Fit für aus 100% Baumwolle (bio) in 98/104. Fair produziert in PortugalT-Shirt aus Bio-Baumwolle mit Regular fit Fit für aus 100% Baumwolle (bio) in 98/104. Fair produziert in Portugalaus nachhaltigen Materialien und GOTS zertifiziert.""";14,9;98/104;;https://www.armedangels.de/media/catalog/product/1/0/10253474_20310253474-203.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/kinderbekleidung-shirts-t-shirt-solid-emily-10253474-203.html469=4948?redirection=no;
1,10253E+14;ARMEDANGELS;"Lanea Dotted Garden grün L"";""Rock aus Tencel® mit Fit für Frauen aus 100% Lyocell (Tencel®) in L. Fair produziert in TürkeiRock aus Tencel® mit Fit für Frauen aus 100% Lyocell (Tencel®) in L. Fair produziert in Türkeiaus nachhaltigen Materialien und GOTS zertifiziert.""";69,9;L;Female;https://www.armedangels.de/media/catalog/product/1/0/10253230_25610253230-256.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-roecke-web-allover-lanea-dotted-garden-10253230-256.html417=3363?redirection=no;
1,10253E+14;ARMEDANGELS;"Lanea Dotted Garden grün XS"";""Rock aus Tencel® mit Fit für Frauen aus 100% Lyocell (Tencel®) in XS. Fair produziert in TürkeiRock aus Tencel® mit Fit für Frauen aus 100% Lyocell (Tencel®) in XS. Fair produziert in Türkeiaus nachhaltigen Materialien und GOTS zertifiziert.""";69,9;XS;Female;https://www.armedangels.de/media/catalog/product/1/0/10253230_25610253230-256.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-roecke-web-allover-lanea-dotted-garden-10253230-256.html417=3360?redirection=no;
1,10253E+14;ARMEDANGELS;"Lanea Dotted Garden grün XL"";""Rock aus Tencel® mit Fit für Frauen aus 100% Lyocell (Tencel®) in XL. Fair produziert in TürkeiRock aus Tencel® mit Fit für Frauen aus 100% Lyocell (Tencel®) in XL. Fair produziert in Türkeiaus nachhaltigen Materialien und GOTS zertifiziert.""";69,9;XL;Female;https://www.armedangels.de/media/catalog/product/1/0/10253230_25610253230-256.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-roecke-web-allover-lanea-dotted-garden-10253230-256.html417=3364?redirection=no;
1,10253E+14;ARMEDANGELS;"Lanea Dotted Garden grün S"";""Rock aus Tencel® mit Fit für Frauen aus 100% Lyocell (Tencel®) in S. Fair produziert in TürkeiRock aus Tencel® mit Fit für Frauen aus 100% Lyocell (Tencel®) in S. Fair produziert in Türkeiaus nachhaltigen Materialien und GOTS zertifiziert.""";69,9;S;Female;https://www.armedangels.de/media/catalog/product/1/0/10253230_25610253230-256.jpg;https://partners.webmasterplan.com/click.asp?ref=841015&site=15112&type=text&tnb=6&diurl=https://www.armedangels.de/frauenbekleidung-roecke-web-allover-lanea-dotted-garden-10253230-256.html417=3361?redirection=no;
